涉及疾病,涉及疾病的编号,疾病描述
"Spastic paraplegia, optic atrophy, and neuropathy",H02114,"Spastic paraplegia, optic atrophy, and neuropathy (SPOAN) is an autosomal recessive neurodegenerative disorder clinically defined by congenital optic atrophy, progressive spastic paraplegia with onset in infancy, and progressive motor and sensory axonal neuropathy. A mutation in KLC2 gene has been reported to be responsible for the SPOAN phenotype."
Keratoconus,H00789,Keratoconus (KTCN) is a frequent corneal ectasia characterized by localized corneal thinning and protrusion. Its exact cause is still unknown and is probably multifactorial.
Macrothrombocytopenia,H01740,"Macrothrombocytopenia (MTP) is a heterogeneous group of disorders characterized by enlarged and reduced numbers of circulating platelets, sometimes resulting in abnormal bleeding. The clinical presentations of MTP-affected individuals vary considerably and range from no symptoms to a severe bleeding tendency. MTP-causing mutations have been reported in several genes, involved in various functions such as cell signaling, cytoskeleton organization, and gene expression. Among these, the most common is MYH9, which is responsible for MYH9-related disease. The second most common are GP1BA, GP1BB, and GP, which are responsible for Bernard-Soulier syndrome."
Congenital symmetric circumferential skin creases,H01579,"Congenital symmetric circumferential skin creases, also known as Michelin tire baby syndrome, is a rare genetic disorder characterized by generalized folding of excess skin. This feature was first described in 1969, then subsequent reports described variable additional features, such as intellectual disability (ID), facial dysmorphism, and cardiac and genital anomalies. It has been reported that mutations in either MAPRE2 or TUBB underlie the genetic origin of this syndrome. MAPRE2 encodes a member of the microtubule end-binding family of proteins that bind to the guanosine triphosphate cap at growing microtubule plus ends, and TUBB encodes a beta-tubulin isotype that is expressed abundantly in the developing brain."
Congenital fibrosis of the extraocular muscles,H00838,"Congenital fibrosis of the extraocular muscles (CFEOM) describes a group of rare congenital eye movement disorders that result from the dysfunction of all or part of the oculomotor (CN 3) and the trochlear (CN 4) nerves, and/or the muscles these nerves innervate. CFEOM is characterized by non-progressive, restrictive ophthalmoplegia of the extraocular muscles and congenital blepharoptosis. Several clinical phenotypes for familial CFEOM have been delineated."
Hypomyelinating leukodystrophy,H00679,"Hypomyelinating leukodystrophies (HMLs) are disorders involving aberrant myelin formation in the central nervous system. They are clinically characterized by early onset nystagmus, impaired motor development, ataxia, choreoathetoid movements, dysarthria and progressive limb spasticity. The prototype of primary HMLs is the X-linked Pelizaeus-Merzbacher disease (PMD) caused by mutations in PLP1 encoding proteolipid protein lipophilin. Pelizaeus-Merzbacher-like disease (PMLD) is clinically similar to classical PMD but is not associated with PLP1 mutations. PMLD appears to be inherited in an autosomal recessive manner and mutations have been identified in GJC2, AIMP1, HSPD1 and so on."
Primary dystonia,H00831,"Dystonias are a heterogeneous group of hyperkinetic movement disorders characterized by involuntary sustained muscle contractions that lead to abnormal postures and repetitive movements. Presently, 30 distinct monogenic primary dystonias have been recognized. They can be divided into Primary torsion dystonias (PTDs), dystonia-plus syndromes without brain degeneration, dystonia-parkinsonism with brain degeneration (i.e. DYT3), and paroxysmal dyskinesias."
Leber congenital amaurosis,H00837,"Leber congenital amaurosis (LCA) is a heterogeneous group of severe retinal degenerations, which typically becomes evident in the first year of life. Affected infants have little or no retinal photoreceptor function as tested by electroretinography. LCA is generally inherited in an autosomal recessive manner, and caused by mutations in more than a dozen genes. Several have been demonstrated as potentially efficacious gene therapy targets."
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,"Congenital facial palsy with ptosis and velopharyngeal dysfunction (FPVEPD) is an autosomal dominant disorder caused by mutations in TUBB6, a gene encoding a class V tubulin. Tubulins form microtubules, which are essential for the cytoskeleton and thereby for cell division, differentiation and migration as well as intracellular trafficking."
Oocyte/zygote/embryo maturation arrest,H01897,"Human reproduction requires gamete maturation, fertilization, and early embryonic development. Oocyte maturation includes nuclear and cytoplasmic maturation, and abnormalities in the process will lead to infertility. Currently, several genes have been reported to be the causes of Oocyte/zygote/embryo maturation arrest (OZEMA)."
Parkinsonian syndrome,H01600,"Parkinsonian syndromes (PS) are multisystemic diseases that produce not only motor and cognitive function impairment, but also other disorders that require the intervention of specialists other than the neurologist. PS include idiopathic Parkinson disease (PD), progressive supranuclear palsy (PSP), multiple system atrophy (MSA), corticobasal degeneration (CBD), and vascular Parkinsonism (VaP), among other rarer causes of parkinsonism. Point mutations, duplications and triplications in the alpha-synuclein gene cause a rare dominant form of PS in families. Mutations in the leucine-rich repeat kinase 2 (LRRK2) gene have been identified as a much more common cause for dominant PS, especially in certain ethnic groups, while mutations in the parkin gene, in DJ-1, PINK1 and ATP13A2 cause autosomal recessive parkinsonism of early onset."
"Immune dysregulation, autoimmunity, and autoinflammation",H02792,"Immune dysregulation, autoimmunity, and autoinflammation (IDAA) is a new immune dysregulation disease. It has been reported that a gain-of-function mutation in PLCG1 causes this disease. PLCG1 encodes phospholipase C gamma 1, an enzyme activated by receptor and non-receptor tyrosine kinases and hydrolyzes phosphatidylinositol 4,5-bisphosphate to produce critical second messengers, including diacylglycerol (DAG) and inositol-1,4,5-trisphosphate (IP3)."
Lewy body dementia (LBD),H00066,"Lewy Body dementia (LDB) is neurodegenerative disease characterized by dementia, mild parkinsonism, and fluctuations in attention and alertness. It is the second most-common degenerative dementia after Alzheimer's disease. Progressive accumulation of alpha-synuclein- and ubiquitin-positive Lewy Bodies is seen in the brainstem, the limbic system or cortical and subcortical regions, depending on disease subtype. The genetic risk factors include alpha-synuclein mutations and SNCA locus triplication. Mutations of leucine-rich repeat kinase 2 (LRRK2) and the glucocerebrosidase (GBA) gene have also been implicated in familial DLB."
3-Methylglutaconic aciduria,H00754,3-Methylglutaconic aciduria (MGCA) is a group of metabolic disorders characterized by increased urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid. Nine distinct forms of MGCA have been recognized.
Pancreatic neuroendocrine tumor,H00045,"Pancreatic neuroendocrine tumors (PNETs), also known as islet cell tumors, are rare neoplasms that arise in the endocrine tissues of the pancreas. They may occur sporadically or in association with a genetic syndrome, such as multiple endocrine neoplasia type 1 (MEN1), Von Hippel-Landau (VHL) syndrome, neurofibromatosis type 1, or tuberous sclerosis. The most frequent genetic alterations in PNET occur in MEN1 (Multiple Endocrine Neoplasia-1 Gene), DAXX/ATRX (Death-Domain Associated Protein/Mental Retardation Syndrome X-Linked Genes) and the mTOR pathway (Mammalian Target of Rapamycin). A germline mutation in the MEN1 tumor suppressor gene causes MEN1, the above-mentioned autosomal dominant hereditary syndrome. Mutations of DAXX and ATRX are common and related to altered telomeres but not to prognosis."
Dopa-responsive dystonia,H02557,Dopa-responsive dystonia (DRD) encompasses a clinically and genetically heterogeneous group of disorders that typically manifest as limb-onset dystonia that fluctuates diurnally and improves with levodopa treatment. DRD usually results from genetic defects in enzymes that are involved in the biosynthesis of dopamine. The most common condition is autosomal dominant GTP cyclohydrolase 1 deficiency (Segawa syndrome).
Brunner syndrome,H00548,"Brunner syndrome is a form of X-linked non-dysmorphic mild mental retardation. It is caused by a monoamine oxidase A (MAOA) deficiency, which leads to an excess of monoamines in the brain, such as serotonin, dopamine, and epinephrine."
Infantile-onset parkinsonism-dystonia,H02676,"Infantile-onset parkinsonism-dystonia (PKDYS) is a heterogeneous group of inherited disorders characterized by abnormal movements, including parkinsonism, dystonia, and developmental delay."
Mitochondrial complex III deficiency,H02086,"Mitochondrial complex III deficiency (MC3DN) is a relatively rare devastating disorder that impairs energy generation, and leads to variable symptoms such as developmental regression, seizures, kidney dysfunction and frequently death. Until now, mutations in nine genes have been known to cause CIII deficiency. CYC1, UQCRB, UQCRQ, and UQCRC2 encode components of CIII itself, whereas BCS1L, TTC19, LYRM7, UQCC2, and UQCC3 produce mitochondrial assembly factors."
Chronic myeloid leukemia,H00004,"Chronic myeloid leukemia (CML) is a clonal myeloproliferative disorder of a pluripotent stem cell. The natural history of CML has a triphasic clinical course comprising of an initial chronic phase (CP), which is characterized by expansion of functionally normal myeloid cells, followed by an accelerated phase (AP) and finally a more aggressive blast phase (BP), with loss of terminal differentiation capacity. On the cellular level, CML is associated with a specific chromosome abnormality, the t(9; 22) reciprocal translocation that forms the Philadelphia (Ph) chromosome. The Ph chromosome is the result of a molecular rearrangement between the c-ABL proto-oncogene on chromosome 9 and the BCR (breakpoint cluster region) gene on chromosome 22. The BCR/ABL fusion gene encodes p210 BCR/ABL, an oncoprotein, which, unlike the normal p145 c-Abl, has constitutive tyrosine kinase activity and is predominantly localized in the cytoplasm. While fusion of c-ABL and BCR is believed to be the primary cause of the chronic phase of CML, progression to blast crisis requires other molecular changes. Common secondary abnormalities include mutations in TP53, RB, and p16/INK4A, or overexpression of genes such as EVI1. Additional chromosome translocations are also observed,such as t(3;21)(q26;q22), which generates AML1-EVI1."
Hairy cell leukemia,H00006,"Hairy cell Leukemia (HCL) is a chronic lymphoproliferative disorder that is defined, according to the WHO classification, as a mature (peripheral) B-cell neoplasm. HCL accounts for between 2-3% of all leukemia cases, with about 600 new cases diagnosed in the U.S. each year. With regard to genetic abnormalities of potential pathogenetic importance in HCL, only a few have been described. Mutations of p53 and Bcl-6 have been reported in about one-third of cases, but their functional significance is unclear. Over-expression of cyclin D1, an important cell cycle regulator, has been reported in cases of HCL as well as mantle cell lymphoma (MCL) and in a few cases of chronic lymphocytic leukemia among lymphoid malignancies."
Burkitt lymphoma,H00008,"Burkitt lymphoma (BL) is a highly aggressive mature B-cell non-Hodgkin's lymphoma consisting of endemic, sporadic, and immunodeficiency-associated variants. Endemic BL (eBL) affects children and young adults in Africa and some other geographical areas and carries Epstein-Barr virus (EBV) in more than 95% of cases. In contrast, sporadic BL (sBL) among adolescents in Europe and North America are mostly EBV-negative. A third type of BL is associated with HIV-infection in adults. All of these subtypes possess chromosomal rearrangements of the c-myc oncogene, the genetic hallmark of BL that contributes to lymphomagenesis through alterations in cell cycle regulation, cellular differentiation, apoptosis, cellular adhesion, and metabolism. Many BL carry point mutation in the p53 tumor suppressor gene or other defects in the p14ARF-MDM2-p53 pathway, and inactivation of the p16INK4a gene by promoter methylation or homozygous deletion. This indicates that disruption of both the pRb and p53 tumor suppressor pathways is critical for BL development."
Small cell lung cancer,H00013,"Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Small cell lung carcinoma (SCLC) is a highly aggressive neoplasm, which accounts for approximately 25% of all lung cancer cases. Molecular mechanisms altered in SCLC include induced expression of oncogene, MYC, and loss of tumorsuppressor genes, such as p53, PTEN, RB, and FHIT. The overexpression of MYC proteins in SCLC is largely a result of gene amplification. Such overexpression leads to more rapid proliferation and loss of terminal differentiation. Mutation or deletion of p53 or PTEN can lead to more rapid proliferation and reduced apoptosis. The retinoblastoma gene RB1 encodes a nuclear phosphoprotein that helps to regulate cell-cycle progression. The fragile histidine triad gene FHIT encodes the enzyme diadenosine triphosphate hydrolase, which is thought to have an indirect role in proapoptosis and cell-cycle control."
Malignant pleural mesothelioma,H00015,"Malignant mesothelioma (MM) is a rare but very aggressive tumor that arises from mesothelial cells lining the pleural, peritoneal and pericardial cavities. Malignant pleural mesothelioma (MPM) is the most common type, accounting for about 70% of all MM cases. Past asbestos exposure represents the major risk factor for MPM, as the link between asbestos fibres and MPM has been largely proved by epidemiological and experimental studies. Recently, simian virus 40 (SV40) has been implicated in the aetiology of MPM. The accumulation of numerous clonal chromosomal deletions in most MMs suggests a multistep process of tumorigenesis, characterized by the loss and/or inactivation of multiple tumor suppressor genes (TSGs). Cytogenetic and loss of heterozygosity (LOH) analyses of MMs have demonstrated frequent deletions of specific sites within chromosome arms 1p, 3p, 6q, 9p, 13q, 15q, and 22q. Furthermore, TSGs within two of these regions, i.e., p16/CDKN2A-p14ARF at 9p21 and NF2 at 22q12, are frequently altered in MMs. Mutations of the p53 gene (TP53) are occasionally observed in MMs."
Choriocarcinoma,H00028,"Gestational choriocarcinoma is a highly malignant epithelial tumor that can be associated with any type of gestational event, most often a complete hydatidiform mole (CM). CM occur in about one per 1000 pregnancies, and about 5-20% of CM progress to invasive moles or choriocarcinoma. Several molecular studies have been done to establish the expression of tumor-associated proteins in choriocarcinoma. In the p53 pathway, overexpression of the p53 protein and the p53-associated protein, MDM2, have been detected. Synergistic upregulation of c-MYC, c-ERB-2, c-FMS, and BCL-2 oncoproteins have also been suggested to have an important role in the pathogenesis of choriocarcinoma. Moreover, choriocarcinomas have been shown to express increased concentrations of MMP and decreased concentrations of TIMP to help with tumor invasion and metastasis."
Vulvar cancer,H00029,"Vulvar cancer is a relatively uncommon malignancy, occurring at a rate of 2.2 per 100,000 women per year. Squamous cell carcinoma (SCC) is the most common type of vulvar cancer and is observed in 80% to 90% of cases. There are at least two quite different types of SCC of the vulva. The less common, accounting for about one-third of cases, occurs in relatively young women, is usually preceded by the undifferentiated form of vulvar squamous intraepithelial neoplasia (VIN) and is associated with high-risk human papillomavirus (HPV) infection; the more frequent form develops in elderly patients, is not commonly associated with undifferentiated VIN but is frequently associated with differentiated VIN, lichen sclerosus or squamous hyperplasia, and is generally not linked to HPV infection. Relatively little is known about molecular changes in the genesis of vulvar cancer. Some studies suggest that early p53 mutation may be a defining step only in HPV-negative tumors. A rather small study suggests that mutation in phosphatase and tensin homologue (PTEN) is an early change in a substantial subset of vulvar carcinomas."
Breast cancer,H00031,"Breast cancer is the leading cause of cancer death among women worldwide. The vast majority of breast cancers are carcinomas that originate from cells lining the milk-forming ducts of the mammary gland. The molecular subtypes of breast cancer, which are based on the presence or absence of hormone receptors (estrogen and progesterone subtypes) and human epidermal growth factor receptor-2 (HER2), include: hormone receptor positive and HER2 negative (luminal A subtype), hormone receptor positive and HER2 positive (luminal B subtype), hormone receptor negative and HER2 positive (HER2 positive), and hormone receptor negative and HER2 negative (basal-like or triple-negative breast cancers (TNBCs)). Hormone receptor positive breast cancers are largely driven by the estrogen/ER pathway. In HER2 positive breast tumours, HER2 activates the PI3K/AKT and the RAS/RAF/MAPK pathways, and stimulate cell growth, survival and differentiation. In patients suffering from TNBC, the deregulation of various signalling pathways (Notch, Wnt/beta-catenin, and EGFR) have been confirmed."
Osteosarcoma,H00036,"Osteosarcoma is the most common type of primary bone cancer. Approximately 900 new cases of osteosarcoma are diagnosed each year in the United States. The presentation of this disease is bimodal, with peaks in adolescence and after the age of 50 years. The tumors typically arise in the metaphyseal regions of long bones, with the distal femur, proximal tibia, and proximal humerus representing the three most common sites. Genomic amplification, especially of both the p53-binding MDM2 gene and the flanking SAS gene, plays an important role in the biology of these tumors. Alterations of Rb1 and c-myc are also common, and mutations have been reported in p53, p16INK4A, and CDKN2B."
Basal cell carcinoma,H00039,"Cancer of the skin is the most common cancer in Caucasians and basal cell carcinomas (BCC) account for 90% of all skin cancers. The vast majority of BCC cases are sporadic, though there is a rare familial syndrome basal cell nevus syndrome (BCNS, or Gorlin syndrome) that predisposes to development of BCC. In addition, there is strong epidemiological and genetic evidence that demonstrates UV exposure as a risk factor of prime importance. The development of basal cell carcinoma is associated with constitutive activation of sonic hedgehog signaling. The mutations in SMOH, PTCH1, and SHH in BCCs result in continuous activation of target genes. At a cellular level, sonic hedgehog signaling promotes cell proliferation. Mutations in TP53 are also found with high frequency (>50%) in sporadic BCC."
Glioma,H00042,"Gliomas are the most common of the primary brain tumors and account for more than 40% of all central nervous system neoplasms. Gliomas include tumours that are composed predominantly of astrocytes (astrocytomas), oligodendrocytes (oligodendrogliomas), mixtures of various glial cells (for example,oligoastrocytomas) and ependymal cells (ependymomas). The most malignant form of infiltrating astrocytoma - glioblastoma multiforme (GBM) - is one of the most aggressive human cancers. GBM may develop de novo (primary glioblastoma) or by progression from low-grade or anaplastic astrocytoma (secondary glioblastoma). Primary glioblastomas develop in older patients and typically show genetic alterations (EGFR amplification, p16/INK4a deletion, and PTEN mutations) at frequencies of 24-34%. Secondary glioblastomas develop in younger patients and frequently show overexpression of PDGF and CDK4 as well as p53 mutations (65%) and loss of Rb playing major roles in such transformations. Loss of PTEN has been implicated in both pathways, although it is much more common in the pathogenesis of primary GBM."
Cancer of the anal canal,H00044,"Squamous cell carcinoma of the anal canal accounts for 1.5 per cent of all digestive system cancers in the USA, with an estimated 4,660 new cases and 660 deaths in 2006. Epidemiological and molecular-biology studies have now shown that sexually transmitted infection with human papillomavirus (HPV) is the most important aetiological agent. Human immunodeficiency virus (HIV) infection is also associated with anal cancer. HPV infection is transient in most immunocompetent individuals, but HIV-positive patients have evidence of persistent HPV infection within the anal canal. Current data suggest that mutations in p53, DCC and APC tumor suppressor genes contribute to the stepwise progression of anal squamous cell carcinoma in immunocompetent individuals."
Laryngeal cancer,H00055,"Laryngeal cancer is one of the most common malignancies in Europe, with about 52,000 new cases per year, 90% of them occurring in men. Smoke and alcohol represent the major behavioral risk factors. Of all laryngeal cancers, some 95% are squamous cell carcinomas. Some molecular events have been described in laryngeal squamous cell carcinoma (LSCC). Although tumor suppressor inactivation of p53 and p16 is common in these tumors (about 50% each), oncogenic activation is less well characterized. Cyclin D1 and epidermal growth factor receptor amplification have been reported in one-third and one-quarter of LSCCs, respectively, both related to advanced stages, whereas c-myc could be amplified in 13% of cases although without associated overexpression."
Li-Fraumeni syndrome,H00881,"Li-Fraumeni syndrome (LFS) is a familial clustering of early onset tumors including sarcomas, breast cancers, brain tumors and adrenocortical carcinomas (ADR). Initially considered as a rare syndrome, LFS and its variants are increasingly recognized as one of the most frequent and diverse forms of predisposition to cancer. Most cases identified and characterized to date are associated with dominantly inherited germ line mutations in the tumor suppressor gene TP53 (p53). In a subset of non-p53 patients with LFS, CHEK2 has been identified as another predisposing locus. LFS is diagnosed on the basis of the confirmed clinical diagnostic criteria."
Choroid plexus papilloma,H01007,"Choroid plexus tumors (CPTs) are rare intraventricular papillary neoplasms of neuroectodermal origin, accounting for less than 1% of all intracranial tumors and 2-4% of pediatric brain tumors. CPTs are categorized by three distinct histologies; choroid plexus papilloma, atypical choroid plexus papilloma, and the malignant choroid plexus carcinoma. Choroid plexus papillomas outnumber choroid plexus carcinomas and are composed of a single layer of cuboidal-to-columnar cells, resting on a basement membrane overlying papillary and vascularized connective tissue."
Mantle cell lymphoma,H01464,"Mantle cell lymphoma (MCL) is a B-cell non-Hodgkin lymphoma (NHL) and it accounts for about 6% of all NHL cases. Diagnosis is based on lymph node, bone marrow, or tissue morphology of centrocytic lymphocytes, small cell type, or blastoid variant cells. The molecular hallmark and putative initiating oncogenic event in MCL is the t(11;14)(q13;q32) translocation resulting in constitutional overexpression of cyclin D1 and cell cycle dysregulation in almost all cases. Clinically, MCL shows an aggressive clinical course with a continuous relapse pattern and a median survival of only 3-5 years. However, recently a subset of 15% long-term survivors has been identified with a rather indolent clinical course."
Fallopian tube cancer,H01554,"Fallopian tube cancer is a rare, aggressive gynecologic malignancy. Recent genetic and immunohistochemical studies strongly suggest that high-grade serous adenocarcinoma (SAC) involving the ovary likely arises from distal fallopian tube epithelium, indicating that some ovarian cancers develop in the fallopian tube and are then spread to the ovary. Fallopian tube cancers are similar to ovarian cancer with respect to the proportion of tumors with abnormal expression of c-erbB-2 and p53. It has been proposed that the p53 signature is the earliest step in the pathogenesis of fallopian tube cancer. In this model, tubal epithelium on the fimbria experiences genotoxic damage and, as a result, the secretory cell exhibits over-accumulation of p53 protein (p53 signature). There is also some evidence that BRCA-1 and BRCA-2 mutations and c-myc have a major role in tumorgenesis."
Oropharyngeal cancer,H01559,"Oropharyngeal cancer is a generic term that includes tumors arising within the anatomic confines of the posterior pharyngeal wall, soft palate, tonsillar region and posterior one-third (base) of the tongue. The vast majority of these tumors (>95%) includes squamous cell carcinomas of mucosal origin. Oropharyngeal squamous cell carcinomas (OPSCCs) are traditionally categorized as head and neck squamous cell carcinoma (HNSCC). High-risk human papillomavirus (HR-HPV) is now recognised as a causative agent in a subset of OPSCCs. HPV-driven OPSCC and tobacco- and alcohol-related OPSCC are biologically distinct entities. In the former, p53 and pRb are both inactivated at the protein level by, respectively, E6 and E7 viral oncoproteins. The majority of HPV-negative tumors, instead, harbor mutations in the TP53 gene, an increased epidermal growth factor receptor (EGFR) gene copy number and higher EGFR expression by immunohistochemistry (IHC)."
Medulloblastoma,H01667,"Medulloblastoma is the most common embryonal CNS tumor of childhood and is likely composed of biologically different subsets of tumors arising from stem and/or progenitor cells of the cerebellum. Recently, four distinct molecular subgroups of medulloblastoma have been identified [WNT (wingless), SHH (sonic hedgehog), Group 3, and Group 4]. Nearly all (90 %) of WNT patients have somatic missense mutations in CTNNB1 which promote protein stabilization. Alterations in SHH subgroup most often fall within the Shh signalling pathway. The most common are somatic or germline inactivating alterations or loss of PTCH1 and SUFU, or somatic missense mutations activating SMO. Group 3 tumors are characterized by MYC amplification resulting in high MYC mRNA expression levels compared with SHH and Group 4 tumors.The most frequently mutated somatic gene in Group 4 medulloblastoma is KDM6A, a histone H3 Lys27 (H3K27) demethylase."
Nephroblastoma,H02301,"Nephroblastoma, also called Wilms tumor (WT), is the most common renal tumor of childhood. It can present as a single nodule, as multifocal unilateral lesions or as bilateral tumours. Typically, nephroblastoma comprises three histological components namely blastemal, epithelial and stromal. WT1, a zinc-finger transcription factor, was identified as the first nephroblastoma gene. Several other genes including CTNNB1, WTX, and TP53 have also been implicated in various stages of tumorigenesis of nephroblastoma."
"Diffuse large B-cell lymphoma, not otherwise specified",H02434,"Diffuse large B-cell lymphoma, not otherwise specified (DLBCL, NOS) is the most common type of DLBCL. DLBCL accounts for 30-40% of all non-Hodgkin lymphomas (NHL), making it the most prevalent form of NHL. DLBCL can occur as primary disease or through histologic transformation from other low-grade B-cell lymphoma, and is a clinically and genetically heterogeneous disease. The cell-of-origin (COO) determination based on gene expression profiling (GEP) subdivides most DLBCL, NOS patients into two main categories, namely germinal center B-cell-like (GCB) and activated B-cell-like (ABC) DLBCL. GCB subtype is characterized by frequent mutations in involved histone methylation or acetylation (EZH2, EP300), B-cell homing (GNA13, GNAI2), PI3K pathway signalling (PTEN), and apoptotic pathway (BCL2). In contrast, ABC subtype is driven by frequent mutations in the B cell receptor and NFKB pathways (CARD11, CD79a/CD79b, TNFAIP3 and MYD88)."
Bone marrow failure syndrome,H02529,Bone marrow failure syndromes are a heterogeneous group of life-threatening disorders characterized by the inability of the bone marrow to make an adequate number of mature blood cells.
Distal hereditary motor neuropathies,H00856,"Distal hereditary motor neuropathies (dHMN) comprise a heterogenous group of diseases that share the common feature of a length-dependent predominantly motor neuropathy. Many forms of dHMN have minor sensory abnormalities and/or a significant upper-motor-neuron component, and there is often an overlap with the axonal forms of Charcot-Marie-Tooth disease (CMT) [DS: H00264 ] and with juvenile forms of amyotrophic lateral sclerosis [DS: H00058 ] and hereditary spastic paraplegia [DS: H00266 ]. The causative genes with autosomal dominant, recessive, and X-linked patterns of inheritance have implicated proteins with diverse functions. Distal HMN are classified into phenotypic subtypes according to age at onset, mode of inheritance, and presence of additional features."
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,H02031,"Inclusion body myopathy with Paget disease of bone and frontotemporal dementia (IBMPFD) is a rare disorder characterized by progressive degeneration of muscle, brain, motor neurons and bone. Some cases are caused by mutations in the VCP gene, which encodes the AAA+ ATPase, a ubiquitin-dependent segregase. Recently, pathogenic mutations have been defined in heterogeneous nuclear ribonucleoproteins (hnRNPs) A2B1 and A1."
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,"Frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS) are genetically heterogeneous disorders. Mutations in the several genes and a repeat expansion in the C9orf72 gene have been reported to be associated with both diseases (FTDALS). Genes linked to both diseases may converge into a common pathogenetic pathway, explaining the overlap of clinical symptoms."
Spinal muscular atrophy,H00455,"Spinal muscular atrophy (SMA) is a neuromuscular disease characterized by degeneration of motor neurons, resulting in progressive muscle atrophy and paralysis. The most common form of SMA is caused by mutations of the SMN gene, that encodes the SMN protein, which regulates snRNP assembly. Four types of SMA are recognized depending on the age of onset and the severity of the disease: type I (Werdning-Hoffman), type II (intermediate), type III (Kugeleberg-Welander) and type IV (adult form). Other forms of spinal muscular atrophy are caused by mutation of other genes, some known and others not yet defined."
Wolfram syndrome,H00854,"Wolfram syndrome (WFS) is a rare hereditary neurodegenerative disorder also known as DIDMOAD (diabetes insipidus, diabetes mellitus, optic atrophy, and deafness). Two different categories of WFS (WFS1 and 2) are recognized, each with its own subset of variable symptoms, and resulting from mutations in the WFS1 and CISD2 genes, respectively. The WFS1 encodes an endoplasmic reticulum membrane-embedded protein. ERIS, the protein that CISD2 encodes, also localizes to the endoplasmic reticulum."
Retinitis pigmentosa,H00527,"Retinitis pigmentosa (RP) is a group of inherited progressive retinal diseases characterized by progressive peripheral vision loss and night vision difficulties. RP can be divided into syndromic (40 %) and non-syndromic (60 %) forms. The most frequent forms of syndromic RP are Usher syndrome and Bardet-Biedl syndrome. Mutations in more than 50 genes are known to cause non-syndromic RP. Non-syndromic RP can be inherited in an autosomal dominant, autosomal recessive, or X-linked manner."
Anemia due to disorders of glycolytic enzymes,H00664,"Anemia due to disorders of glycolytic enzymes is a group of red cell disorders caused by inherited abnormality of glycolytic enzymes. Neurological phenotypes have been found to be associated only with specific mutations affecting TPI, PGK and, in rare cases, GPI. The symptoms of TPI deficiency are generally much more severe than those of any other glycolytic enzyme deficiency."
Neurodevelopmental disorder with structural brain abnormalities,H02470,Neurodevelopmental disorder (NED) with structural brain abnormalities is a group of syndromic neurodevelopmental disorders. Most of them have complications in addition to microcephaly. Several underlying genetic causes of these diseases have been identified.
Primary open angle glaucoma,H00612,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients."
Paget disease of bone,H00437,"Paget disease of bone (PDB) are rare inherited osteolytic disorders that show phenotypic overlap. Patients with these diseases carry mutations in RANK/TNFRSF11A, OPG/TNFRSF11B or SQSTM1, resulting in activation of RANKL-RANK signaling axis with increases in bone resorption. Hearing impairment and tooth loss is common. Apart from juvenile-onset Paget's disease (PDB5), the condition is inherited as an autosomal dominant trait."
Distal myopathy,H00594,"Distal myopathies (MPD) are a group of heterogeneous inherited primary muscle disorders classified into one broad category due to the presentation of weakness involving the distal skeletal muscles. Clinical presentation is characterized by progressive muscular weakness and atrophy beginning in the hands, forearm, lower legs or feet. Currently almost 20 different entities of distal muscular dystrophies have been genetically determined. Half of the genes have been associated with distal phenotypes only, whereas the other genes can manifest also with other than distal phenotypes. Most of the genes code for structural and functional components of the sarcomere. The genes responsible for the pathologically defined category of myofibrillar myopathy are frequently display a distal phenotype."
Distal myopathy with rimmed vacuoles,H02586,Distal myopathy with rimmed vacuoles (DMRV) is an autosomal dominant distal myopathy. It has been reported that mutations in SQSTM1 cause this disease. SQSTM1 is an autophagic adaptor that shuttles aggregated and ubiquitinated proteins to the autophagosome.
Infection-induced acute encephalopathy,H02536,"Infection-induced acute encephalopathy (IIAE) is a severe neurologic complication of an infection that usually occurs in children. It is characterized by a high-grade fever, often leading to coma, multiple-organ failure, brain edema, and high morbidity and mortality. The infections are usually viral, such as influenza, parainfluenza, and herpes simplex virus. It is possible that genetic factors play an important role in the aetiology of IIAE. For example, herpes simplex encephalitis (HSE) has been linked to defects in type I interferon production downstream of Toll-like receptor (TLR)3."
