涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Primary open angle glaucoma; Glaucoma 1,H00612,Autophagy - animal,hsa04140
Primary open angle glaucoma; Glaucoma 1,H00612,Mitophagy - animal,hsa04137
Primary open angle glaucoma; Glaucoma 1,H00612,Ribosome biogenesis in eukaryotes,hsa03008
Primary open angle glaucoma; Glaucoma 1,H00612,Neurotrophin signaling pathway,hsa04722
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Small cell lung cancer,H00013,Apoptosis,hsa04210
Nasopharyngeal cancer,H00054,Epstein-Barr virus infection,hsa05169
Follicular lymphoma,H01613,Lysine degradation,hsa00310
Colorectal cancer,H00020,Wnt signaling pathway,hsa04310
Colorectal cancer,H00020,TGF-beta signaling pathway,hsa04350
Colorectal cancer,H00020,Apoptosis,hsa04210
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Schizophrenia,H01649,Neuroactive ligand-receptor interaction,hsa04080
Schizophrenia,H01649,Dopaminergic synapse,hsa04728
Schizophrenia,H01649,Glutamatergic synapse,hsa04724
Schizophrenia,H01649,ErbB signaling pathway,hsa04012
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Aminoacyl-tRNA biosynthesis,hsa00970
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Oxidative phosphorylation,hsa00190
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Congenital mirror movements,H01287,Axon guidance,hsa04360
Congenital mirror movements,H01287,Homologous recombination,hsa03440
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Lissencephaly,H00268,PI3K-Akt signaling pathway,hsa04151
Lissencephaly,H00268,Focal adhesion,hsa04510
Lissencephaly,H00268,ECM-receptor interaction,hsa04512
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Macrothrombocytopenia,H01740,Platelet activation,hsa04611
Macrothrombocytopenia,H01740,Hematopoietic cell lineage,hsa04640
Macrothrombocytopenia,H01740,Focal adhesion,hsa04510
Macrothrombocytopenia,H01740,ECM-receptor interaction,hsa04512
Macrothrombocytopenia,H01740,Regulation of actin cytoskeleton,hsa04810
Macrothrombocytopenia,H01740,PI3K-Akt signaling pathway,hsa04151
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Congenital fibrosis of the extraocular muscles,H00838,Phagosome,hsa04145
Congenital fibrosis of the extraocular muscles,H00838,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Gap junction,hsa04540
Complex cortical dysplasia with other brain malformations,H01881,Hippo signaling pathway,hsa04390
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Autophagy - animal,hsa04140
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,RNA polymerase,hsa03020
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Cytosolic DNA-sensing pathway,hsa04623
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Aminoacyl-tRNA biosynthesis,hsa00970
Hypomyelinating leukodystrophy; Pelizaeus-Merzbacher disease (PMD),H00679,Sphingolipid signaling pathway,hsa04071
Primary dystonia,H00831,Autophagy - animal,hsa04140
Primary dystonia,H00831,Cytoskeleton in muscle cells,hsa04820
Leber congenital amaurosis,H00837,Retinol metabolism,hsa00830
Leber congenital amaurosis,H00837,Purine metabolism,hsa00230
Leber congenital amaurosis,H00837,Hippo signaling pathway,hsa04390
Leber congenital amaurosis,H00837,Phototransduction,hsa04744
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Gap junction,hsa04540
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Spermatogenic failure,H01282,PI3K-Akt signaling pathway,hsa04151
Congenital mirror movements,H01287,Axon guidance,hsa04360
Congenital mirror movements,H01287,Homologous recombination,hsa03440
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Thyroid hormone signaling pathway,hsa04919
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Tight junction,hsa04530
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Hippo signaling pathway,hsa04390
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Focal adhesion,hsa04510
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Regulation of actin cytoskeleton,hsa04810
Juvenile-onset dystonia; Dystonia-deafness syndrome 1,H01255,Neutrophil extracellular trap formation,hsa04613
Baraitser-Winter syndrome,H02023,Cytoskeleton in muscle cells,hsa04820
Baraitser-Winter syndrome,H02023,Regulation of actin cytoskeleton,hsa04810
Baraitser-Winter syndrome,H02023,Focal adhesion,hsa04510
Becker nevus syndrome,H02716,Cytoskeleton in muscle cells,hsa04820
Becker nevus syndrome,H02716,Cytoskeleton in muscle cells,hsa04820
"Deafness, autosomal dominant",H00604,Calcium signaling pathway,hsa04020
"Deafness, autosomal dominant",H00604,Cytoskeleton in muscle cells,hsa04820
Bilateral sudden sensorineural hearing loss,H01705,Rap1 signaling pathway,hsa04015
Bilateral sudden sensorineural hearing loss,H01705,Regulation of actin cytoskeleton,hsa04810
Bilateral sudden sensorineural hearing loss,H01705,Apoptosis,hsa04210
Bilateral sudden sensorineural hearing loss,H01705,Tight junction,hsa04530
Baraitser-Winter syndrome,H02023,Cytoskeleton in muscle cells,hsa04820
Baraitser-Winter syndrome,H02023,Regulation of actin cytoskeleton,hsa04810
Baraitser-Winter syndrome,H02023,Focal adhesion,hsa04510
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,PI3K-Akt signaling pathway,hsa04151
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Autophagy - animal,hsa04140
Amyotrophic lateral sclerosis (ALS); Lou Gehrig disease,H00058,Mitophagy - animal,hsa04137
Essential tremor,H01577,Dopaminergic synapse,hsa04728
Essential tremor,H01577,Neuroactive ligand-receptor interaction,hsa04080
Essential tremor,H01577,mRNA surveillance pathway,hsa03015
Essential tremor,H01577,Nucleocytoplasmic transport,hsa03013
Galloway-Mowat syndrome,H01722,Nucleocytoplasmic transport,hsa03013
Galloway-Mowat syndrome,H01722,Nucleocytoplasmic transport,hsa03013
Primary microcephaly,H00269,Cytoskeleton in muscle cells,hsa04820
Primary microcephaly,H00269,Cell cycle,hsa04110
Infantile bilateral striatal necrosis,H01177,Nucleocytoplasmic transport,hsa03013
Infantile bilateral striatal necrosis,H01177,Oxidative phosphorylation,hsa00190
Primary dystonia,H00831,Autophagy - animal,hsa04140
Primary dystonia,H00831,Cytoskeleton in muscle cells,hsa04820
Atrial fibrillation,H00731,Adrenergic signaling in cardiomyocytes,hsa04261
Atrial fibrillation,H00731,Vascular smooth muscle contraction,hsa04270
Atrial fibrillation,H00731,Oxytocin signaling pathway,hsa04921
Atrial fibrillation,H00731,Cholinergic synapse,hsa04725
Atrial fibrillation,H00731,Renin secretion,hsa04924
Atrial fibrillation,H00731,Cytoskeleton in muscle cells,hsa04820
Infection-induced acute encephalopathy,H02536,Toll-like receptor signaling pathway,hsa04620
Infection-induced acute encephalopathy,H02536,NOD-like receptor signaling pathway,hsa04621
Infection-induced acute encephalopathy,H02536,Influenza A,hsa05164
Infection-induced acute encephalopathy,H02536,Herpes simplex virus 1 infection,hsa05168
Infection-induced acute encephalopathy,H02536,Necroptosis,hsa04217
Infection-induced acute encephalopathy,H02536,Toll-like receptor signaling pathway,hsa04620
Infection-induced acute encephalopathy,H02536,NOD-like receptor signaling pathway,hsa04621
Infection-induced acute encephalopathy,H02536,Influenza A,hsa05164
Infection-induced acute encephalopathy,H02536,Herpes simplex virus 1 infection,hsa05168
Infection-induced acute encephalopathy,H02536,Necroptosis,hsa04217
Lethal congenital contractural syndrome,H00865,Cytoskeleton in muscle cells,hsa04820
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,hsa04820
Spinocerebellar ataxia (SCA),H00063,Calcium signaling pathway,hsa04020
Isolated anhidrosis with normal sweat glands; Dann-Epstein-Sohar syndrome,H02281,Calcium signaling pathway,hsa04020
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Autophagy - animal,hsa04140
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Mitophagy - animal,hsa04137
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Cytoskeleton in muscle cells,hsa04820
Charcot-Marie-Tooth disease; Hereditary motor and sensory neuropathy,H00264,Aminoacyl-tRNA biosynthesis,hsa00970
Type 1 diabetes mellitus,H00408,Th17 cell differentiation,hsa04659
Type 1 diabetes mellitus,H00408,Th1 and Th2 cell differentiation,hsa04658
Type 1 diabetes mellitus,H00408,Intestinal immune network for IgA production,hsa04672
Type 1 diabetes mellitus,H00408,Cytokine-cytokine receptor interaction,hsa04060
Type 1 diabetes mellitus,H00408,JAK-STAT signaling pathway,hsa04630
Type 1 diabetes mellitus,H00408,PI3K-Akt signaling pathway,hsa04151
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Glutamatergic synapse,hsa04724
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling pathway,hsa04020
Landau-Kleffner syndrome,H01514,Calcium signaling pathway,hsa04020
"Rolandic epilepsy, mental retardation, and speech dyspraxia",H01827,Glutamatergic synapse,hsa04724
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Cell cycle,hsa04110
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,Calcium signaling pathway,hsa04020
Autosomal dominant intellectual developmental disorder; Autosomal dominant mental retardation,H00773,PI3K-Akt signaling pathway,hsa04151
Early infantile epileptic encephalopathy; Developmental and epileptic encephalopathy; Ohtahara syndrome,H00606,Calcium signaling pathway,hsa04020
Mitochondrial DNA depletion syndrome,H00469,Nucleotide metabolism,hsa01232
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,hsa03410
Mitochondrial DNA depletion syndrome,H00469,Mitophagy - animal,hsa04137
Progressive external ophthalmoplegia; Autosomal dominant progressive external ophthalmoplegia,H01118,Base excision repair,hsa03410
Thrombocytopenia (THC),H00978,Apoptosis,hsa04210
Neurodevelopmental disorder with defects of ubiquitin-proteasome system,H02715,Ubiquitin mediated proteolysis,hsa04120
