基因名称,基因ID,涉及其他数据库,涉及其他数据的编号,涉及其他数据库的链接（若有多个网址用分号分隔）
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,NCBI-GeneID,4709,https://www.ncbi.nlm.nih.gov/gene/4709
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,NCBI-ProteinID,NP_001244031,https://www.ncbi.nlm.nih.gov/protein/NP_001244031
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,OMIM,603839,https://omim.org/entry/603839
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,HGNC,7698,https://www.genenames.org/tools/search/#!/?query=%207698
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,Ensembl,ENSG00000119013,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000119013
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,UniProt,O43676,https://www.uniprot.org/uniprot/O43676
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,NCBI-GeneID,4710,https://www.ncbi.nlm.nih.gov/gene/4710
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,NCBI-ProteinID,NP_004538,https://www.ncbi.nlm.nih.gov/protein/NP_004538
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,OMIM,603840,https://omim.org/entry/603840
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,HGNC,7699,https://www.genenames.org/tools/search/#!/?query=%207699
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,Ensembl,ENSG00000065518,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000065518
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,UniProt,O95168,https://www.uniprot.org/uniprot/O95168
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,NCBI-GeneID,4711,https://www.ncbi.nlm.nih.gov/gene/4711
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,NCBI-ProteinID,NP_002483,https://www.ncbi.nlm.nih.gov/protein/NP_002483
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,OMIM,603841,https://omim.org/entry/603841
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,HGNC,7700,https://www.genenames.org/tools/search/#!/?query=%207700
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,Ensembl,ENSG00000136521,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000136521
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,UniProt,O43674,https://www.uniprot.org/uniprot/O43674
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,NCBI-GeneID,4712,https://www.ncbi.nlm.nih.gov/gene/4712
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,NCBI-ProteinID,NP_002484,https://www.ncbi.nlm.nih.gov/protein/NP_002484
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,OMIM,603322,https://omim.org/entry/603322
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,HGNC,7701,https://www.genenames.org/tools/search/#!/?query=%207701
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,Ensembl,ENSG00000165264,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000165264
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,UniProt,O95139,https://www.uniprot.org/uniprot/O95139
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,NCBI-GeneID,4713,https://www.ncbi.nlm.nih.gov/gene/4713
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,NCBI-ProteinID,NP_004137,https://www.ncbi.nlm.nih.gov/protein/NP_004137
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,OMIM,603842,https://omim.org/entry/603842
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,HGNC,7702,https://www.genenames.org/tools/search/#!/?query=%207702
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,Ensembl,ENSG00000099795,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000099795
NDUFB7 NADH:ubiquinone oxidoreductase subunit B7,4713,UniProt,P17568,https://www.uniprot.org/uniprot/P17568
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,NCBI-GeneID,4714,https://www.ncbi.nlm.nih.gov/gene/4714
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,NCBI-ProteinID,NP_004995,https://www.ncbi.nlm.nih.gov/protein/NP_004995
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,OMIM,602140,https://omim.org/entry/602140
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,HGNC,7703,https://www.genenames.org/tools/search/#!/?query=%207703
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,Ensembl,ENSG00000166136,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000166136
NDUFB8 NADH:ubiquinone oxidoreductase subunit B8,4714,UniProt,O95169,https://www.uniprot.org/uniprot/O95169
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,NCBI-GeneID,4715,https://www.ncbi.nlm.nih.gov/gene/4715
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,NCBI-ProteinID,NP_004996,https://www.ncbi.nlm.nih.gov/protein/NP_004996
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,OMIM,601445,https://omim.org/entry/601445
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,HGNC,7704,https://www.genenames.org/tools/search/#!/?query=%207704
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,Ensembl,ENSG00000147684,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000147684
NDUFB9 NADH:ubiquinone oxidoreductase subunit B9,4715,UniProt,Q9Y6M9,https://www.uniprot.org/uniprot/Q9Y6M9
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,NCBI-GeneID,4716,https://www.ncbi.nlm.nih.gov/gene/4716
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,NCBI-ProteinID,NP_004539,https://www.ncbi.nlm.nih.gov/protein/NP_004539
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,OMIM,603843,https://omim.org/entry/603843
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,HGNC,7696,https://www.genenames.org/tools/search/#!/?query=%207696
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,Ensembl,ENSG00000140990,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000140990
NDUFB10 NADH:ubiquinone oxidoreductase subunit B10,4716,UniProt,O96000 A8K761,https://www.uniprot.org/uniprot/O96000; https://www.uniprot.org/uniprot/A8K761
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,NCBI-GeneID,54539,https://www.ncbi.nlm.nih.gov/gene/54539
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,NCBI-ProteinID,NP_001129470,https://www.ncbi.nlm.nih.gov/protein/NP_001129470
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,OMIM,300403,https://omim.org/entry/300403
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,HGNC,20372,https://www.genenames.org/tools/search/#!/?query=%2020372
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,Ensembl,ENSG00000147123,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000147123
NDUFB11 NADH:ubiquinone oxidoreductase subunit B11,54539,UniProt,Q9NX14,https://www.uniprot.org/uniprot/Q9NX14
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,NCBI-GeneID,4717,https://www.ncbi.nlm.nih.gov/gene/4717
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,NCBI-ProteinID,NP_001171915,https://www.ncbi.nlm.nih.gov/protein/NP_001171915
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,OMIM,603844,https://omim.org/entry/603844
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,HGNC,7705,https://www.genenames.org/tools/search/#!/?query=%207705
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,Ensembl,ENSG00000109390,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000109390
NDUFC1 NADH:ubiquinone oxidoreductase subunit C1,4717,UniProt,O43677,https://www.uniprot.org/uniprot/O43677
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,NCBI-GeneID,4718,https://www.ncbi.nlm.nih.gov/gene/4718
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,NCBI-ProteinID,NP_004540,https://www.ncbi.nlm.nih.gov/protein/NP_004540
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,OMIM,603845,https://omim.org/entry/603845
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,HGNC,7706,https://www.genenames.org/tools/search/#!/?query=%207706
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,Ensembl,ENSG00000151366,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000151366
NDUFC2 NADH:ubiquinone oxidoreductase subunit C2,4718,UniProt,O95298,https://www.uniprot.org/uniprot/O95298
SOD1 superoxide dismutase 1,6647,NCBI-GeneID,6647,https://www.ncbi.nlm.nih.gov/gene/6647
SOD1 superoxide dismutase 1,6647,NCBI-ProteinID,NP_000445,https://www.ncbi.nlm.nih.gov/protein/NP_000445
SOD1 superoxide dismutase 1,6647,OMIM,147450,https://omim.org/entry/147450
SOD1 superoxide dismutase 1,6647,HGNC,11179,https://www.genenames.org/tools/search/#!/?query=%2011179
SOD1 superoxide dismutase 1,6647,Ensembl,ENSG00000142168,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000142168
SOD1 superoxide dismutase 1,6647,UniProt,P00441 V9HWC9,https://www.uniprot.org/uniprot/P00441; https://www.uniprot.org/uniprot/V9HWC9
DCTN1 dynactin subunit 1,1639,NCBI-GeneID,1639,https://www.ncbi.nlm.nih.gov/gene/1639
DCTN1 dynactin subunit 1,1639,NCBI-ProteinID,NP_004073,https://www.ncbi.nlm.nih.gov/protein/NP_004073
DCTN1 dynactin subunit 1,1639,OMIM,601143,https://omim.org/entry/601143
DCTN1 dynactin subunit 1,1639,HGNC,2711,https://www.genenames.org/tools/search/#!/?query=%202711
DCTN1 dynactin subunit 1,1639,Ensembl,ENSG00000204843,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000204843
DCTN1 dynactin subunit 1,1639,UniProt,Q14203 Q6MZZ3,https://www.uniprot.org/uniprot/Q14203; https://www.uniprot.org/uniprot/Q6MZZ3
DCTN2 dynactin subunit 2,10540,NCBI-GeneID,10540,https://www.ncbi.nlm.nih.gov/gene/10540
DCTN2 dynactin subunit 2,10540,NCBI-ProteinID,NP_001248342,https://www.ncbi.nlm.nih.gov/protein/NP_001248342
DCTN2 dynactin subunit 2,10540,OMIM,607376,https://omim.org/entry/607376
DCTN2 dynactin subunit 2,10540,HGNC,2712,https://www.genenames.org/tools/search/#!/?query=%202712
DCTN2 dynactin subunit 2,10540,Ensembl,ENSG00000175203,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000175203
DCTN2 dynactin subunit 2,10540,UniProt,Q13561 A0A384MDU9,https://www.uniprot.org/uniprot/Q13561; https://www.uniprot.org/uniprot/A0A384MDU9
DCTN3 dynactin subunit 3,11258,NCBI-GeneID,11258,https://www.ncbi.nlm.nih.gov/gene/11258
DCTN3 dynactin subunit 3,11258,NCBI-ProteinID,NP_009165,https://www.ncbi.nlm.nih.gov/protein/NP_009165
DCTN3 dynactin subunit 3,11258,OMIM,607387,https://omim.org/entry/607387
DCTN3 dynactin subunit 3,11258,HGNC,2713,https://www.genenames.org/tools/search/#!/?query=%202713
DCTN3 dynactin subunit 3,11258,Ensembl,ENSG00000137100,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000137100
DCTN3 dynactin subunit 3,11258,UniProt,O75935,https://www.uniprot.org/uniprot/O75935
DCTN4 dynactin subunit 4,51164,NCBI-GeneID,51164,https://www.ncbi.nlm.nih.gov/gene/51164
DCTN4 dynactin subunit 4,51164,NCBI-ProteinID,NP_057305,https://www.ncbi.nlm.nih.gov/protein/NP_057305
DCTN4 dynactin subunit 4,51164,OMIM,614758,https://omim.org/entry/614758
DCTN4 dynactin subunit 4,51164,HGNC,15518,https://www.genenames.org/tools/search/#!/?query=%2015518
DCTN4 dynactin subunit 4,51164,Ensembl,ENSG00000132912,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000132912
DCTN4 dynactin subunit 4,51164,UniProt,Q9UJW0 A0A0S2Z5D4 Q9NSJ5,https://www.uniprot.org/uniprot/Q9UJW0; https://www.uniprot.org/uniprot/A0A0S2Z5D4; https://www.uniprot.org/uniprot/Q9NSJ5
DCTN5 dynactin subunit 5,84516,NCBI-GeneID,84516,https://www.ncbi.nlm.nih.gov/gene/84516
DCTN5 dynactin subunit 5,84516,NCBI-ProteinID,NP_115875,https://www.ncbi.nlm.nih.gov/protein/NP_115875
DCTN5 dynactin subunit 5,84516,OMIM,612962,https://omim.org/entry/612962
DCTN5 dynactin subunit 5,84516,HGNC,24594,https://www.genenames.org/tools/search/#!/?query=%2024594
DCTN5 dynactin subunit 5,84516,Ensembl,ENSG00000166847,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000166847
DCTN5 dynactin subunit 5,84516,UniProt,Q9BTE1,https://www.uniprot.org/uniprot/Q9BTE1
DCTN6 dynactin subunit 6,10671,NCBI-GeneID,10671,https://www.ncbi.nlm.nih.gov/gene/10671
DCTN6 dynactin subunit 6,10671,NCBI-ProteinID,NP_006562,https://www.ncbi.nlm.nih.gov/protein/NP_006562
DCTN6 dynactin subunit 6,10671,OMIM,612963,https://omim.org/entry/612963
DCTN6 dynactin subunit 6,10671,HGNC,16964,https://www.genenames.org/tools/search/#!/?query=%2016964
DCTN6 dynactin subunit 6,10671,Ensembl,ENSG00000104671,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000104671
DCTN6 dynactin subunit 6,10671,UniProt,O00399,https://www.uniprot.org/uniprot/O00399
ACTR1A actin related protein 1A,10121,NCBI-GeneID,10121,https://www.ncbi.nlm.nih.gov/gene/10121
ACTR1A actin related protein 1A,10121,NCBI-ProteinID,NP_005727,https://www.ncbi.nlm.nih.gov/protein/NP_005727
ACTR1A actin related protein 1A,10121,OMIM,605143,https://omim.org/entry/605143
ACTR1A actin related protein 1A,10121,HGNC,167,https://www.genenames.org/tools/search/#!/?query=%20167
ACTR1A actin related protein 1A,10121,Ensembl,ENSG00000138107,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000138107
ACTR1A actin related protein 1A,10121,UniProt,P61163 A0A384NQ21,https://www.uniprot.org/uniprot/P61163; https://www.uniprot.org/uniprot/A0A384NQ21
ACTR1B actin related protein 1B,10120,NCBI-GeneID,10120,https://www.ncbi.nlm.nih.gov/gene/10120
ACTR1B actin related protein 1B,10120,NCBI-ProteinID,NP_005726,https://www.ncbi.nlm.nih.gov/protein/NP_005726
ACTR1B actin related protein 1B,10120,OMIM,605144,https://omim.org/entry/605144
ACTR1B actin related protein 1B,10120,HGNC,168,https://www.genenames.org/tools/search/#!/?query=%20168
ACTR1B actin related protein 1B,10120,Ensembl,ENSG00000115073,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000115073
ACTR1B actin related protein 1B,10120,UniProt,P42025,https://www.uniprot.org/uniprot/P42025
ACTR10 actin related protein 10,55860,NCBI-GeneID,55860,https://www.ncbi.nlm.nih.gov/gene/55860
ACTR10 actin related protein 10,55860,NCBI-ProteinID,NP_060947,https://www.ncbi.nlm.nih.gov/protein/NP_060947
ACTR10 actin related protein 10,55860,OMIM,619731,https://omim.org/entry/619731
ACTR10 actin related protein 10,55860,HGNC,17372,https://www.genenames.org/tools/search/#!/?query=%2017372
ACTR10 actin related protein 10,55860,Ensembl,ENSG00000131966,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000131966
ACTR10 actin related protein 10,55860,UniProt,Q9NZ32,https://www.uniprot.org/uniprot/Q9NZ32
DNAH1 dynein axonemal heavy chain 1,25981,NCBI-GeneID,25981,https://www.ncbi.nlm.nih.gov/gene/25981
DNAH1 dynein axonemal heavy chain 1,25981,NCBI-ProteinID,NP_056327,https://www.ncbi.nlm.nih.gov/protein/NP_056327
DNAH1 dynein axonemal heavy chain 1,25981,OMIM,603332,https://omim.org/entry/603332
DNAH1 dynein axonemal heavy chain 1,25981,HGNC,2940,https://www.genenames.org/tools/search/#!/?query=%202940
DNAH1 dynein axonemal heavy chain 1,25981,Ensembl,ENSG00000114841,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000114841
DNAH1 dynein axonemal heavy chain 1,25981,UniProt,Q9P2D7 A0A140VJI6,https://www.uniprot.org/uniprot/Q9P2D7; https://www.uniprot.org/uniprot/A0A140VJI6
DNAH2 dynein axonemal heavy chain 2,146754,NCBI-GeneID,146754,https://www.ncbi.nlm.nih.gov/gene/146754
DNAH2 dynein axonemal heavy chain 2,146754,NCBI-ProteinID,NP_065928,https://www.ncbi.nlm.nih.gov/protein/NP_065928
DNAH2 dynein axonemal heavy chain 2,146754,OMIM,603333,https://omim.org/entry/603333
DNAH2 dynein axonemal heavy chain 2,146754,HGNC,2948,https://www.genenames.org/tools/search/#!/?query=%202948
DNAH2 dynein axonemal heavy chain 2,146754,Ensembl,ENSG00000183914,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000183914
DNAH2 dynein axonemal heavy chain 2,146754,UniProt,Q9P225,https://www.uniprot.org/uniprot/Q9P225
DNAH3 dynein axonemal heavy chain 3,55567,NCBI-GeneID,55567,https://www.ncbi.nlm.nih.gov/gene/55567
DNAH3 dynein axonemal heavy chain 3,55567,NCBI-ProteinID,NP_060009,https://www.ncbi.nlm.nih.gov/protein/NP_060009
DNAH3 dynein axonemal heavy chain 3,55567,OMIM,603334,https://omim.org/entry/603334
DNAH3 dynein axonemal heavy chain 3,55567,HGNC,2949,https://www.genenames.org/tools/search/#!/?query=%202949
DNAH3 dynein axonemal heavy chain 3,55567,Ensembl,ENSG00000158486,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000158486
DNAH3 dynein axonemal heavy chain 3,55567,UniProt,Q8TD57,https://www.uniprot.org/uniprot/Q8TD57
DNAH5 dynein axonemal heavy chain 5,1767,NCBI-GeneID,1767,https://www.ncbi.nlm.nih.gov/gene/1767
DNAH5 dynein axonemal heavy chain 5,1767,NCBI-ProteinID,NP_001360,https://www.ncbi.nlm.nih.gov/protein/NP_001360
DNAH5 dynein axonemal heavy chain 5,1767,OMIM,603335,https://omim.org/entry/603335
DNAH5 dynein axonemal heavy chain 5,1767,HGNC,2950,https://www.genenames.org/tools/search/#!/?query=%202950
DNAH5 dynein axonemal heavy chain 5,1767,Ensembl,ENSG00000039139,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000039139
DNAH5 dynein axonemal heavy chain 5,1767,UniProt,Q8TE73,https://www.uniprot.org/uniprot/Q8TE73
DNAH6 dynein axonemal heavy chain 6,1768,NCBI-GeneID,1768,https://www.ncbi.nlm.nih.gov/gene/1768
DNAH6 dynein axonemal heavy chain 6,1768,NCBI-ProteinID,NP_001361,https://www.ncbi.nlm.nih.gov/protein/NP_001361
DNAH6 dynein axonemal heavy chain 6,1768,OMIM,603336,https://omim.org/entry/603336
DNAH6 dynein axonemal heavy chain 6,1768,HGNC,2951,https://www.genenames.org/tools/search/#!/?query=%202951
DNAH6 dynein axonemal heavy chain 6,1768,Ensembl,ENSG00000115423,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000115423
DNAH6 dynein axonemal heavy chain 6,1768,UniProt,Q9C0G6,https://www.uniprot.org/uniprot/Q9C0G6
DNAH7 dynein axonemal heavy chain 7,56171,NCBI-GeneID,56171,https://www.ncbi.nlm.nih.gov/gene/56171
DNAH7 dynein axonemal heavy chain 7,56171,NCBI-ProteinID,NP_061720,https://www.ncbi.nlm.nih.gov/protein/NP_061720
DNAH7 dynein axonemal heavy chain 7,56171,OMIM,610061,https://omim.org/entry/610061
DNAH7 dynein axonemal heavy chain 7,56171,HGNC,18661,https://www.genenames.org/tools/search/#!/?query=%2018661
DNAH7 dynein axonemal heavy chain 7,56171,Ensembl,ENSG00000118997,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000118997
DNAH7 dynein axonemal heavy chain 7,56171,UniProt,Q8WXX0,https://www.uniprot.org/uniprot/Q8WXX0
DNAH8 dynein axonemal heavy chain 8,1769,NCBI-GeneID,1769,https://www.ncbi.nlm.nih.gov/gene/1769
DNAH8 dynein axonemal heavy chain 8,1769,NCBI-ProteinID,NP_001193856,https://www.ncbi.nlm.nih.gov/protein/NP_001193856
DNAH8 dynein axonemal heavy chain 8,1769,OMIM,603337,https://omim.org/entry/603337
DNAH8 dynein axonemal heavy chain 8,1769,HGNC,2952,https://www.genenames.org/tools/search/#!/?query=%202952
DNAH8 dynein axonemal heavy chain 8,1769,Ensembl,ENSG00000124721,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000124721
DNAH8 dynein axonemal heavy chain 8,1769,UniProt,Q96JB1 Q8IU65 A0A075B6F3,https://www.uniprot.org/uniprot/Q96JB1; https://www.uniprot.org/uniprot/Q8IU65; https://www.uniprot.org/uniprot/A0A075B6F3
DNAH9 dynein axonemal heavy chain 9,1770,NCBI-GeneID,1770,https://www.ncbi.nlm.nih.gov/gene/1770
DNAH9 dynein axonemal heavy chain 9,1770,NCBI-ProteinID,NP_001363,https://www.ncbi.nlm.nih.gov/protein/NP_001363
DNAH9 dynein axonemal heavy chain 9,1770,OMIM,603330,https://omim.org/entry/603330
DNAH9 dynein axonemal heavy chain 9,1770,HGNC,2953,https://www.genenames.org/tools/search/#!/?query=%202953
DNAH9 dynein axonemal heavy chain 9,1770,Ensembl,ENSG00000007174,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000007174
DNAH9 dynein axonemal heavy chain 9,1770,UniProt,Q9NYC9,https://www.uniprot.org/uniprot/Q9NYC9
DNAH10 dynein axonemal heavy chain 10,196385,NCBI-GeneID,196385,https://www.ncbi.nlm.nih.gov/gene/196385
DNAH10 dynein axonemal heavy chain 10,196385,NCBI-ProteinID,NP_997320,https://www.ncbi.nlm.nih.gov/protein/NP_997320
DNAH10 dynein axonemal heavy chain 10,196385,OMIM,605884,https://omim.org/entry/605884
DNAH10 dynein axonemal heavy chain 10,196385,HGNC,2941,https://www.genenames.org/tools/search/#!/?query=%202941
DNAH10 dynein axonemal heavy chain 10,196385,Ensembl,ENSG00000197653,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000197653
DNAH10 dynein axonemal heavy chain 10,196385,UniProt,Q8IVF4 B0I1S1,https://www.uniprot.org/uniprot/Q8IVF4; https://www.uniprot.org/uniprot/B0I1S1
DNAH11 dynein axonemal heavy chain 11,8701,NCBI-GeneID,8701,https://www.ncbi.nlm.nih.gov/gene/8701
DNAH11 dynein axonemal heavy chain 11,8701,NCBI-ProteinID,NP_001264044,https://www.ncbi.nlm.nih.gov/protein/NP_001264044
DNAH11 dynein axonemal heavy chain 11,8701,OMIM,603339,https://omim.org/entry/603339
DNAH11 dynein axonemal heavy chain 11,8701,HGNC,2942,https://www.genenames.org/tools/search/#!/?query=%202942
DNAH11 dynein axonemal heavy chain 11,8701,Ensembl,ENSG00000105877,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000105877
DNAH11 dynein axonemal heavy chain 11,8701,UniProt,Q96DT5 Q96NT7 H9NAJ7 H9NAJ8,https://www.uniprot.org/uniprot/Q96DT5; https://www.uniprot.org/uniprot/Q96NT7; https://www.uniprot.org/uniprot/H9NAJ7; https://www.uniprot.org/uniprot/H9NAJ8
DNAH12 dynein axonemal heavy chain 12,201625,NCBI-GeneID,201625,https://www.ncbi.nlm.nih.gov/gene/201625
DNAH12 dynein axonemal heavy chain 12,201625,NCBI-ProteinID,NP_940966,https://www.ncbi.nlm.nih.gov/protein/NP_940966
DNAH12 dynein axonemal heavy chain 12,201625,OMIM,603340,https://omim.org/entry/603340
DNAH12 dynein axonemal heavy chain 12,201625,HGNC,2943,https://www.genenames.org/tools/search/#!/?query=%202943
DNAH12 dynein axonemal heavy chain 12,201625,Ensembl,ENSG00000174844,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000174844
DNAH12 dynein axonemal heavy chain 12,201625,UniProt,Q6ZR08,https://www.uniprot.org/uniprot/Q6ZR08
DNAH17 dynein axonemal heavy chain 17,8632,NCBI-GeneID,8632,https://www.ncbi.nlm.nih.gov/gene/8632
DNAH17 dynein axonemal heavy chain 17,8632,NCBI-ProteinID,NP_775899,https://www.ncbi.nlm.nih.gov/protein/NP_775899
DNAH17 dynein axonemal heavy chain 17,8632,OMIM,610063,https://omim.org/entry/610063
DNAH17 dynein axonemal heavy chain 17,8632,HGNC,2946,https://www.genenames.org/tools/search/#!/?query=%202946
DNAH17 dynein axonemal heavy chain 17,8632,Ensembl,ENSG00000187775,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000187775
DNAH17 dynein axonemal heavy chain 17,8632,UniProt,Q9UFH2,https://www.uniprot.org/uniprot/Q9UFH2
DNAI1 dynein axonemal intermediate chain 1,27019,NCBI-GeneID,27019,https://www.ncbi.nlm.nih.gov/gene/27019
DNAI1 dynein axonemal intermediate chain 1,27019,NCBI-ProteinID,NP_036276,https://www.ncbi.nlm.nih.gov/protein/NP_036276
DNAI1 dynein axonemal intermediate chain 1,27019,OMIM,604366,https://omim.org/entry/604366
DNAI1 dynein axonemal intermediate chain 1,27019,HGNC,2954,https://www.genenames.org/tools/search/#!/?query=%202954
DNAI1 dynein axonemal intermediate chain 1,27019,Ensembl,ENSG00000122735,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000122735
DNAI1 dynein axonemal intermediate chain 1,27019,UniProt,Q9UI46 A0A140VJI0,https://www.uniprot.org/uniprot/Q9UI46; https://www.uniprot.org/uniprot/A0A140VJI0
DNAI2 dynein axonemal intermediate chain 2,64446,NCBI-GeneID,64446,https://www.ncbi.nlm.nih.gov/gene/64446
DNAI2 dynein axonemal intermediate chain 2,64446,NCBI-ProteinID,NP_075462,https://www.ncbi.nlm.nih.gov/protein/NP_075462
DNAI2 dynein axonemal intermediate chain 2,64446,OMIM,605483,https://omim.org/entry/605483
DNAI2 dynein axonemal intermediate chain 2,64446,HGNC,18744,https://www.genenames.org/tools/search/#!/?query=%2018744
DNAI2 dynein axonemal intermediate chain 2,64446,Ensembl,ENSG00000171595,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000171595
DNAI2 dynein axonemal intermediate chain 2,64446,UniProt,Q9GZS0,https://www.uniprot.org/uniprot/Q9GZS0
DNALI1 dynein axonemal light intermediate chain 1,7802,NCBI-GeneID,7802,https://www.ncbi.nlm.nih.gov/gene/7802
DNALI1 dynein axonemal light intermediate chain 1,7802,NCBI-ProteinID,NP_003453,https://www.ncbi.nlm.nih.gov/protein/NP_003453
DNALI1 dynein axonemal light intermediate chain 1,7802,OMIM,602135,https://omim.org/entry/602135
DNALI1 dynein axonemal light intermediate chain 1,7802,HGNC,14353,https://www.genenames.org/tools/search/#!/?query=%2014353
DNALI1 dynein axonemal light intermediate chain 1,7802,Ensembl,ENSG00000163879,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000163879
