涉及疾病,涉及疾病的编号,网络,网络ID
Baraitser-Winter syndrome,H02023,Cytoskeleton in muscle cells,nt06539
Becker nevus syndrome,H02716,Cytoskeleton in muscle cells,nt06539
"Deafness, autosomal dominant",H00604,Double-strand break repair,nt06506
"Deafness, autosomal dominant",H00604,DNA replication,nt06509
"Deafness, autosomal dominant",H00604,NLR signaling,nt06521
"Deafness, autosomal dominant",H00604,Calcium signaling,nt06528
"Deafness, autosomal dominant",H00604,Efferocytosis,nt06535
"Deafness, autosomal dominant",H00604,Cobalamin transport and metabolism,nt06538
"Deafness, autosomal dominant",H00604,Cytoskeleton in muscle cells,nt06539
Baraitser-Winter syndrome,H02023,Cytoskeleton in muscle cells,nt06539
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Ovarian dysgenesis,H00599,TGFB signaling,nt06507
Ovarian dysgenesis,H00599,Interstrand crosslink repair,nt06508
Primary microcephaly,H00269,Chromosome cohesion and segregation,nt06512
Primary microcephaly,H00269,Regulation of kinetochore-microtubule interactions,nt06515
Primary microcephaly,H00269,Epigenetic regulation by Polycomb complexes,nt06523
Primary microcephaly,H00269,Cytoskeleton in muscle cells,nt06539
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Atrial fibrillation,H00731,Hormone/cytokine signaling,nt06325
Atrial fibrillation,H00731,Cytoskeleton in muscle cells,nt06539
Acute myeloid leukemia,H00003,Acute myeloid leukemia,nt06275
Acute myeloid leukemia,H00003,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Efferocytosis,nt06535
Infection-induced acute encephalopathy,H02536,TLR signaling,nt06517
Infection-induced acute encephalopathy,H02536,Necroptosis,nt06527
Infection-induced acute encephalopathy,H02536,TLR signaling,nt06517
Infection-induced acute encephalopathy,H02536,Necroptosis,nt06527
Lethal congenital contractural syndrome,H00865,Cytoskeleton in muscle cells,nt06539
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Neurodevelopmental disorder with movement abnormalities or hypotonia,H02397,Calcium signaling,nt06528
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Neurodevelopmental disorder with glutamatergic synapse dysfunction,H02705,Calcium signaling,nt06528
Landau-Kleffner syndrome,H01514,Calcium signaling,nt06528
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Myocardial infarction,H01730,Coagulation cascade,nt06514
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Distal hereditary motor neuropathies,H00856,Regulation of kinetochore-microtubule interactions,nt06515
Perry syndrome,H00879,Regulation of kinetochore-microtubule interactions,nt06515
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
"Deafness, autosomal dominant",H00604,Double-strand break repair,nt06506
"Deafness, autosomal dominant",H00604,DNA replication,nt06509
"Deafness, autosomal dominant",H00604,NLR signaling,nt06521
"Deafness, autosomal dominant",H00604,Calcium signaling,nt06528
"Deafness, autosomal dominant",H00604,Efferocytosis,nt06535
"Deafness, autosomal dominant",H00604,Cobalamin transport and metabolism,nt06538
"Deafness, autosomal dominant",H00604,Cytoskeleton in muscle cells,nt06539
Hereditary gingival fibromatosis,H01250,MAPK signaling,nt06526
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Osteogenesis imperfecta,H00506,WNT signaling,nt06505
Osteogenesis imperfecta,H00506,Cytoskeleton in muscle cells,nt06539
Autosomal dominant intellectual developmental disorder,H00773,Chromosome cohesion and segregation,nt06512
Autosomal dominant intellectual developmental disorder,H00773,Regulation of kinetochore-microtubule interactions,nt06515
Autosomal dominant intellectual developmental disorder,H00773,Epigenetic regulation by Polycomb complexes,nt06523
Autosomal dominant intellectual developmental disorder,H00773,Calcium signaling,nt06528
Autosomal dominant intellectual developmental disorder,H00773,PI3K signaling,nt06530
Huntington disease,H00059,Huntington disease,nt06461
Huntington disease,H00059,Pathways of neurodegeneration,nt06466
Chronic myeloid leukemia,H00004,Chronic myeloid leukemia,nt06276
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Burkitt lymphoma,H00008,Epstein-Barr virus (EBV),nt06165
Burkitt lymphoma,H00008,TNF signaling,nt06516
Burkitt lymphoma,H00008,TLR signaling,nt06517
Burkitt lymphoma,H00008,JAK-STAT signaling,nt06518
Burkitt lymphoma,H00008,RLR signaling,nt06519
Burkitt lymphoma,H00008,Apoptosis,nt06524
Burkitt lymphoma,H00008,TCR/BCR signaling,nt06537
Adult T-cell leukemia,H00009,Human T-cell leukemia virus 1 (HTLV-1),nt06160
Adult T-cell leukemia,H00009,TGFB signaling,nt06507
Adult T-cell leukemia,H00009,TNF signaling,nt06516
Adult T-cell leukemia,H00009,JAK-STAT signaling,nt06518
Adult T-cell leukemia,H00009,TCR/BCR signaling,nt06537
Small cell lung cancer,H00013,Small cell lung cancer,nt06267
Small cell lung cancer,H00013,Chromosome cohesion and segregation,nt06512
Small cell lung cancer,H00013,Apoptosis,nt06524
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Pancreatic cancer,H00019,Pancreatic cancer,nt06262
Pancreatic cancer,H00019,Double-strand break repair,nt06506
Pancreatic cancer,H00019,Interstrand crosslink repair,nt06508
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Bladder cancer,H00022,Bladder cancer,nt06265
Endometrial cancer,H00026,Endometrial cancer,nt06271
Endometrial cancer,H00026,WNT signaling,nt06505
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Basal cell carcinoma,H00039,Basal cell carcinoma,nt06269
Basal cell carcinoma,H00039,HH signaling,nt06501
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Glioma,H00042,Glioma,nt06273
Glioma,H00042,Calcium signaling,nt06528
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Autosomal recessive spinocerebellar ataxias,H01891,Base excision repair,nt06504
Autosomal recessive spinocerebellar ataxias,H01891,Calcium signaling,nt06528
Autosomal recessive spinocerebellar ataxias,H01891,Autophagy,nt06532
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Autosomal recessive spinocerebellar ataxias,H01891,Base excision repair,nt06504
Autosomal recessive spinocerebellar ataxias,H01891,Calcium signaling,nt06528
Autosomal recessive spinocerebellar ataxias,H01891,Autophagy,nt06532
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Autosomal recessive spinocerebellar ataxias,H01891,Base excision repair,nt06504
Autosomal recessive spinocerebellar ataxias,H01891,Calcium signaling,nt06528
Autosomal recessive spinocerebellar ataxias,H01891,Autophagy,nt06532
Early infantile epileptic encephalopathy,H00606,Chromosome cohesion and segregation,nt06512
Early infantile epileptic encephalopathy,H00606,Calcium signaling,nt06528
Spondylometaphyseal dysplasia,H02185,Hormone/cytokine signaling,nt06325
Spondylometaphyseal dysplasia,H02185,Cytoskeleton in muscle cells,nt06539
Auriculocondylar syndrome,H01884,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
